code,report_date,revenue,ocf,roe,net_profit,total_assets,total_liabilities
000009.SZ,Q1 FY2016,13.7983,0.8412,0.6772,1.0765,187.7401,120.0502
000009.SZ,Q2 FY2016,14.1461,-0.6316,0.9406,0.9354,187.1045,117.1044
000009.SZ,Q3 FY2016,13.9459,0.0456,3.036,1.6524,194.9677,122.1496
000009.SZ,Q4 FY2016,22.2272,-0.3768,0.5109,0.5306,216.2293,134.8819
000009.SZ,Q1 FY2017,12.6664,0.6275,0.7437,0.8817,226.3842,143.4796
000009.SZ,Q2 FY2017,16.7254,-0.4463,1.0284,1.3004,242.4923,151.1836
000009.SZ,Q3 FY2017,19.3394,0.2991,2.1859,1.5238,266.2178,165.3138
000009.SZ,Q4 FY2017,21.504,3.4288,-0.9798,-0.4734,271.0946,171.6356
000009.SZ,Q1 FY2018,20.2083,1.0076,0.7039,0.7919,274.7296,174.5845
000009.SZ,Q2 FY2018,23.1704,3.6125,1.5788,1.4504,282.5562,183.282
000009.SZ,Q3 FY2018,23.1139,15.9427,-0.3206,0.3525,288.0128,188.2366
000009.SZ,Q4 FY2018,50.6629,6.6656,2.2236,4.0558,298.498,193.9925
000009.SZ,Q1 FY2019,22.3961,3.4599,1.2517,1.8593,300.121,197.0862
000009.SZ,Q2 FY2019,36.5205,3.6967,1.3541,1.9489,299.8062,195.787
000009.SZ,Q3 FY2019,28.6392,6.7566,1.1669,1.9354,304.8786,198.795
000009.SZ,Q4 FY2019,31.9315,-0.5359,1.839,1.375,302.0981,195.0222
000009.SZ,Q1 FY2020,16.1387,1.1491,0.7244,1.1425,302.3916,194.7253
000009.SZ,Q2 FY2020,23.6212,1.353,1.6924,2.254,296.3915,187.4517
000009.SZ,Q3 FY2020,29.6177,4.7958,6.2091,4.7925,314.9348,186.8055
000009.SZ,Q4 FY2020,36.5608,-0.7464,2.0484,2.4889,318.5662,186.1119
000002.SZ,Q1 FY2016,146.1131,-107.2613,0.8298,12.4982,0.659,0.5203
000002.SZ,Q2 FY2016,601.8398,365.2334,4.5615,58.4481,0.7125,0.5743
000002.SZ,Q3 FY2016,422.5951,171.8868,2.9425,41.9562,0.7561,0.6126
000002.SZ,Q4 FY2016,1234.2244,-34.1977,11.9339,170.6,0.8308,0.6692
000002.SZ,Q1 FY2017,185.8923,-95.2394,0.6116,11.0917,0.8869,0.7249
000002.SZ,Q2 FY2017,512.2125,313.741,5.8314,89.4382,0.9294,0.7683
000002.SZ,Q3 FY2017,472.9003,-51.4392,3.3083,47.6354,1.0185,0.8508
000002.SZ,Q4 FY2017,1257.9661,656.166,13.6205,223.9186,1.1654,0.9788
000002.SZ,Q1 FY2018,308.2562,-277.5365,0.6657,17.7949,1.2243,1.029
000002.SZ,Q2 FY2018,751.4892,234.9856,6.0712,117.4311,1.3452,1.1395
000002.SZ,Q3 FY2018,700.476,-214.7608,3.5365,82.752,1.4323,1.2164
000002.SZ,Q4 FY2018,1216.5719,593.4936,13.3809,274.745,1.5287,1.293
000002.SZ,Q1 FY2019,483.7463,-267.126,0.7153,32.0593,1.5512,1.3151
000002.SZ,Q2 FY2019,909.4545,355.6571,6.7308,160.7974,1.5771,1.3447
000002.SZ,Q3 FY2019,845.9468,-71.187,3.8984,93.0474,1.6388,1.394
000002.SZ,Q4 FY2019,1439.7912,439.524,11.6124,265.412,1.73,1.4594
000002.SZ,Q1 FY2020,477.7434,-29.5386,0.6633,24.3027,1.7399,1.4658
000002.SZ,Q2 FY2020,985.7516,255.5982,5.8593,161.9892,1.8063,1.515
