Factor,IC_Mean,IC_Std,ICIR,Rank_IC_Mean,Rank_IC_Std,Rank_ICIR,IC_Positive_Ratio,N_Months
F_REV_YOY,0.035220762110235226,0.0660699060303441,0.5330832783999919,0.04203095318146819,0.06583048822022283,0.6384724512578728,0.7272727272727273,44
F_PROFIT_YOY,0.014665293283486959,0.07436864010560394,0.19719727646844354,0.04064809688709937,0.07193054189537672,0.5651020528417845,0.5681818181818182,44
F_ROE,0.04307457534377284,0.10315810104808638,0.4175588238454869,0.05884883174698874,0.10558830214638965,0.5573423433345825,0.6428571428571429,56
F_EP,0.0325921135429012,0.09669067703631644,0.33707607126031186,0.046260952964645996,0.10101690285478773,0.4579525966178782,0.6101694915254238,59
F_PROFIT_MARGIN,0.013224645433269329,0.06373304232534192,0.20750061429298605,0.04609836945838536,0.10591754518135489,0.435228831818699,0.5535714285714286,56
F_VOL12M,0.024474823932897224,0.09887511200386087,0.24753270501419541,0.03342364799995308,0.0944634568265038,0.3538262215127336,0.6730769230769231,52
F_MOM3M,0.00880207694908466,0.07148791008036817,0.12312679079846069,0.02479046781652008,0.07982435836150574,0.31056269446288415,0.6216216216216216,37
F_SP,0.03184265900241837,0.09644946385106504,0.3301486367160013,0.03789618558609908,0.13088995780093368,0.2895270670324011,0.6607142857142857,56
F_ROA,0.022140308099810584,0.06768419756411453,0.32711192415095053,0.04049944382269232,0.14352685221007613,0.2821732881273983,0.5714285714285714,56
F_MOM6M,0.0029027916705131867,0.06814435292890655,0.04259768485206108,0.017338055642266485,0.06983979267821465,0.2482546837180804,0.5483870967741935,31
F_CFP,0.01040043841931215,0.07900099466773672,0.13164946166886168,0.026301720290690167,0.1197166571851028,0.21969975531494443,0.5892857142857143,56
F_VOL3M,0.001630708717848349,0.1048869540906413,0.015547297869276683,0.015252712864047871,0.10559597344670181,0.14444407647557206,0.5454545454545454,33
F_EARNINGS_QUALITY,0.01743213443203459,0.06067754765003247,0.2872913475768209,0.008083450616406071,0.05939829983132964,0.13608892239946663,0.5892857142857143,56
F_BP,0.007356499917255153,0.09903778661805493,0.07427972866180793,0.01135834534931757,0.10179498931128646,0.11158059376168351,0.4915254237288136,59
F_LEVERAGE,0.014296430607178558,0.08368159546208791,0.1708431887350377,0.003950120381566945,0.07501455762660938,0.05265805073768437,0.625,56
F_MOM1M,0.0040573063021635955,0.0931932362397045,0.04353648897574179,0.004518442841853632,0.09398691521319048,0.04807523293646195,0.5454545454545454,33
F_MOM12M,-0.013077975713196615,0.06716081100412491,-0.19472629227770025,0.003227116496857645,0.070289852595337,0.0459115559031878,0.41304347826086957,46
F_ASSET_TURNOVER,0.02276719273421223,0.07179026015486682,0.31713484092547606,0.002611292944037433,0.14390415050308308,0.018146057183955146,0.5892857142857143,56
F_REV,,,0.0,,,0.0,0.2542372881355932,59
F_MIDCAP,-0.027998817191134933,0.09410909301203724,-0.29751447277845594,-0.030420384801918884,0.11846575371565378,-0.25678631881189146,0.3220338983050847,59
F_SIZE,-0.0106234423047149,0.05042554410004946,-0.21067580914222558,-0.03934647675071921,0.13771682298748303,-0.28570566686900245,0.423728813559322,59
