Factor,IC_Mean,IC_Std,ICIR,Rank_IC_Mean,Rank_IC_Std,Rank_ICIR,IC_Positive_Ratio,N_Months
F_MOM6M,0.0317749946437785,0.08265637287726087,0.38442280416734737,0.03969899000572673,0.07165986919078328,0.5539919407337226,0.6470588235294118,17
F_VOL3M,0.030570279013677124,0.07911604939326797,0.38639794641058467,0.032913462630632766,0.07548505053220318,0.43602623828928,0.631578947368421,19
F_BP,0.029512122067278795,0.11014391870803791,0.26794145708132594,0.0480938902509686,0.1207032316186694,0.39844741193764216,0.5428571428571428,35
F_CFP,0.018162668481628744,0.0634945337241718,0.28605089944481915,0.032372380880402715,0.08801589124352473,0.36780154609619237,0.59375,32
F_VOL12M,0.02584513498687042,0.11393666534592775,0.22683773400249124,0.041150529851066486,0.11722762384703814,0.3510309985022032,0.5666666666666667,30
F_EARNINGS_QUALITY,0.021103625864776442,0.05714393147284365,0.36930650938508597,0.022337099530497544,0.06970030037074655,0.32047350458582097,0.5625,32
F_SP,0.014477147478372731,0.0896741394424182,0.16144172186529693,0.020594540361607974,0.09274414813130279,0.22205757211173255,0.53125,32
F_SIZE,0.026836260999688784,0.07853544949716412,0.34170888651573617,0.02860836390071399,0.13848516790797302,0.2065807070380634,0.6571428571428571,35
F_EP,0.02152873152915436,0.1121308350906906,0.19199653254826898,0.01961197231260972,0.11293838705738493,0.1736519603617565,0.7142857142857143,35
F_MOM12M,0.013814025666433156,0.08173356587352079,0.16901288373750598,0.013728533875411163,0.0909915309330953,0.15087705124453338,0.6086956521739131,23
F_ASSET_TURNOVER,0.01452870112613024,0.06575871260955113,0.220939561460028,0.005054637478399301,0.07019689183355159,0.07200657103714336,0.53125,32
F_REV,,,0.0,,,0.0,0.4,35
F_LEVERAGE,-0.008524103978322147,0.08581315279955817,-0.09933330381454107,-0.0005403848155063331,0.07512667841542985,-0.007192981599933833,0.46875,32
F_MOM3M,0.0015405353383163224,0.10105736122146132,0.015244167467823833,-0.0023444733653331185,0.1021968220088098,-0.0229407658599307,0.6666666666666666,21
F_MIDCAP,-0.01100837887756434,0.07143155309283698,-0.15411087118961492,-0.009364456980235813,0.08241855627909252,-0.11362073546308087,0.4,35
F_PROFIT_MARGIN,-0.010179783125912542,0.07770015419904416,-0.13101367984206355,-0.0149357850215465,0.09747341419260176,-0.1532293204794721,0.46875,32
F_MOM1M,-0.03552146528058278,0.11330986330409905,-0.3134896137439588,-0.027725031969315656,0.11199168317233207,-0.24756331170282134,0.2631578947368421,19
F_PROFIT_YOY,-0.003214094905707003,0.053251857396779935,-0.06035648450266741,-0.020203445624734365,0.07922044877717238,-0.2550281642756365,0.5,20
F_ROA,-0.013099427064335579,0.07445813296177445,-0.17593010384856955,-0.020192858956359038,0.07275330047577938,-0.2775524797405106,0.4375,32
F_ROE,-0.001053193854972872,0.0646633574076292,-0.01628733640187716,-0.01956869223659621,0.06592211312468425,-0.29684564570289534,0.4375,32
F_REV_YOY,-0.00991698698350578,0.0721113531699332,-0.13752324075982897,-0.02546126295826645,0.07198929080124224,-0.3536812583494307,0.45,20
