code,industry,ind_year
000002.SZ,房地产,2020
000002.SZ,房地产,2019
000002.SZ,房地产,2018
000002.SZ,房地产,2017
000002.SZ,房地产,2016
000039.SZ,机械设备,2020
000039.SZ,机械设备,2019
000039.SZ,机械设备,2018
000039.SZ,机械设备,2017
000039.SZ,机械设备,2016
000009.SZ,综合,2020
000009.SZ,综合,2019
000009.SZ,综合,2018
000009.SZ,综合,2017
000009.SZ,综合,2016
000027.SZ,公用事业,2020
000027.SZ,公用事业,2019
000027.SZ,公用事业,2018
000027.SZ,公用事业,2017
000027.SZ,公用事业,2016
000001.SZ,银行,2020
000001.SZ,银行,2019
000001.SZ,银行,2018
000001.SZ,银行,2017
000001.SZ,银行,2016
000046.SZ,房地产,2020
000046.SZ,房地产,2019
000046.SZ,房地产,2018
000046.SZ,房地产,2017
000046.SZ,房地产,2016
000060.SZ,有色金属,2020
000060.SZ,有色金属,2019
000060.SZ,有色金属,2018
000060.SZ,有色金属,2017
000060.SZ,有色金属,2016
000061.SZ,商贸零售,2020
000061.SZ,商贸零售,2019
000061.SZ,商贸零售,2018
000061.SZ,商贸零售,2017
000061.SZ,商贸零售,2016
000063.SZ,通信,2020
000063.SZ,通信,2019
000063.SZ,通信,2018
000063.SZ,通信,2017
000063.SZ,通信,2016
000069.SZ,房地产,2020
000069.SZ,房地产,2019
000069.SZ,房地产,2018
000069.SZ,房地产,2017
000069.SZ,房地产,2016
000100.SZ,电子,2020
000100.SZ,电子,2019
000100.SZ,家用电器,2018
000100.SZ,家用电器,2017
000100.SZ,家用电器,2016
000156.SZ,传媒,2020
000156.SZ,传媒,2019
000156.SZ,传媒,2018
000156.SZ,传媒,2017
000156.SZ,传媒,2016
000157.SZ,机械设备,2020
000157.SZ,机械设备,2019
000157.SZ,机械设备,2018
000157.SZ,机械设备,2017
000157.SZ,机械设备,2016
000166.SZ,非银金融,2020
000166.SZ,非银金融,2019
000166.SZ,非银金融,2018
000166.SZ,非银金融,2017
000166.SZ,非银金融,2016
000333.SZ,家用电器,2020
000333.SZ,家用电器,2019
000333.SZ,家用电器,2018
000333.SZ,家用电器,2017
000333.SZ,家用电器,2016
000402.SZ,房地产,2020
000402.SZ,房地产,2019
000402.SZ,房地产,2018
000402.SZ,房地产,2017
000402.SZ,房地产,2016
000400.SZ,电力设备,2020
000400.SZ,电力设备,2019
000400.SZ,电力设备,2018
000400.SZ,电力设备,2017
000400.SZ,电力设备,2016
000413.SZ,电子,2020
000413.SZ,电子,2019
000413.SZ,电子,2018
000413.SZ,电子,2017
000413.SZ,电子,2016
000415.SZ,非银金融,2020
000415.SZ,非银金融,2019
000415.SZ,非银金融,2018
000415.SZ,非银金融,2017
000415.SZ,非银金融,2016
000338.SZ,汽车,2020
000338.SZ,汽车,2019
000338.SZ,汽车,2018
000338.SZ,汽车,2017
000338.SZ,汽车,2016
000423.SZ,医药生物,2020
000423.SZ,医药生物,2019
000423.SZ,医药生物,2018
000423.SZ,医药生物,2017
000423.SZ,医药生物,2016
000425.SZ,机械设备,2020
000425.SZ,机械设备,2019
000425.SZ,机械设备,2018
000425.SZ,机械设备,2017
000425.SZ,机械设备,2016
000503.SZ,计算机,2020
000503.SZ,计算机,2019
000503.SZ,计算机,2018
000503.SZ,计算机,2017
000503.SZ,计算机,2016
000538.SZ,医药生物,2020
000538.SZ,医药生物,2019
000538.SZ,医药生物,2018
000538.SZ,医药生物,2017
000538.SZ,医药生物,2016
000539.SZ,公用事业,2020
000539.SZ,公用事业,2019
000539.SZ,公用事业,2018
000539.SZ,公用事业,2017
000539.SZ,公用事业,2016
000581.SZ,汽车,2020
000581.SZ,汽车,2019
000581.SZ,汽车,2018
000581.SZ,汽车,2017
000581.SZ,汽车,2016
000559.SZ,汽车,2020
000559.SZ,汽车,2019
000559.SZ,汽车,2018
000559.SZ,汽车,2017
000559.SZ,汽车,2016
000568.SZ,食品饮料,2020
000568.SZ,食品饮料,2019
000568.SZ,食品饮料,2018
000568.SZ,食品饮料,2017
000568.SZ,食品饮料,2016
000540.SZ,房地产,2020
000540.SZ,房地产,2019
000540.SZ,房地产,2018
000540.SZ,房地产,2017
000540.SZ,房地产,2016
000598.SZ,环保,2020
000598.SZ,环保,2019
000598.SZ,环保,2018
000598.SZ,环保,2017
000598.SZ,环保,2016
000623.SZ,医药生物,2020
000623.SZ,医药生物,2019
000623.SZ,医药生物,2018
000623.SZ,医药生物,2017
000623.SZ,医药生物,2016
000625.SZ,汽车,2020
000625.SZ,汽车,2019
000625.SZ,汽车,2018
000625.SZ,汽车,2017
000625.SZ,汽车,2016
000629.SZ,钢铁,2020
000629.SZ,钢铁,2019
000629.SZ,钢铁,2018
000629.SZ,钢铁,2017
000629.SZ,钢铁,2016
000630.SZ,有色金属,2020
000630.SZ,有色金属,2019
000630.SZ,有色金属,2018
000630.SZ,有色金属,2017
000630.SZ,有色金属,2016
000651.SZ,家用电器,2020
000651.SZ,家用电器,2019
000651.SZ,家用电器,2018
000651.SZ,家用电器,2017
000651.SZ,家用电器,2016
000686.SZ,非银金融,2020
000686.SZ,非银金融,2019
000686.SZ,非银金融,2018
000686.SZ,非银金融,2017
000686.SZ,非银金融,2016
000709.SZ,钢铁,2020
000709.SZ,钢铁,2019
000709.SZ,钢铁,2018
000709.SZ,钢铁,2017
000709.SZ,钢铁,2016
000712.SZ,非银金融,2020
000712.SZ,非银金融,2019
000712.SZ,非银金融,2018
000712.SZ,非银金融,2017
000712.SZ,非银金融,2016
000725.SZ,电子,2020
000725.SZ,电子,2019
000725.SZ,电子,2018
000725.SZ,电子,2017
000725.SZ,电子,2016
000728.SZ,非银金融,2020
000728.SZ,非银金融,2019
000728.SZ,非银金融,2018
000728.SZ,非银金融,2017
000728.SZ,非银金融,2016
000738.SZ,国防军工,2020
000738.SZ,国防军工,2019
000738.SZ,国防军工,2018
000738.SZ,国防军工,2017
000738.SZ,国防军工,2016
000729.SZ,食品饮料,2020
000729.SZ,食品饮料,2019
000729.SZ,食品饮料,2018
000729.SZ,食品饮料,2017
000729.SZ,食品饮料,2016
000768.SZ,国防军工,2020
000768.SZ,国防军工,2019
000768.SZ,国防军工,2018
000768.SZ,国防军工,2017
000768.SZ,国防军工,2016
000750.SZ,非银金融,2020
000750.SZ,非银金融,2019
000750.SZ,非银金融,2018
000750.SZ,非银金融,2017
000750.SZ,非银金融,2016
000776.SZ,非银金融,2020
000776.SZ,非银金融,2019
000776.SZ,非银金融,2018
000776.SZ,非银金融,2017
000776.SZ,非银金融,2016
000783.SZ,非银金融,2020
000783.SZ,非银金融,2019
000783.SZ,非银金融,2018
000783.SZ,非银金融,2017
000783.SZ,非银金融,2016
000778.SZ,钢铁,2020
000778.SZ,钢铁,2019
000778.SZ,钢铁,2018
000778.SZ,钢铁,2017
000778.SZ,钢铁,2016
000792.SZ,基础化工,2020
000792.SZ,基础化工,2019
000792.SZ,基础化工,2018
000792.SZ,基础化工,2017
000792.SZ,基础化工,2016
000800.SZ,汽车,2020
000800.SZ,汽车,2019
000800.SZ,汽车,2018
000800.SZ,汽车,2017
000800.SZ,汽车,2016
000793.SZ,传媒,2020
000793.SZ,传媒,2019
000793.SZ,传媒,2018
000793.SZ,传媒,2017
000793.SZ,传媒,2016
000825.SZ,钢铁,2020
000825.SZ,钢铁,2019
000825.SZ,钢铁,2018
000825.SZ,钢铁,2017
000825.SZ,钢铁,2016
