code,date,mcap,circ_mcap,pe,pb
000039.SZ,2020-12-31,426.0214,229.9873,33.6081,1.5342
000039.SZ,2020-11-30,443.5956,225.9982,33.0252,1.5076
000039.SZ,2020-10-31,369.839,181.8112,26.5681,1.2128
000039.SZ,2020-09-30,289.0496,137.4707,47.2885,0.9358
000039.SZ,2020-08-31,277.8023,133.6779,46.2329,0.9149
000039.SZ,2020-07-31,264.7189,127.2687,60.4083,0.873
000039.SZ,2020-06-30,228.883,110.2815,52.3684,0.7568
000039.SZ,2020-05-31,220.6041,107.2309,50.9197,0.7268
000039.SZ,2020-04-30,243.4274,113.3322,53.817,0.7681
000039.SZ,2020-03-31,253.9344,117.6031,17.9277,0.7842
000039.SZ,2020-02-29,254.4453,122.0206,16.8781,0.8137
000039.SZ,2020-01-31,265.179,139.729,19.3385,0.9654
000039.SZ,2019-12-31,283.8637,149.6335,20.7036,1.0335
000039.SZ,2019-11-30,271.8901,146.7537,20.3219,1.0145
000039.SZ,2019-10-31,275.862,147.6671,20.4484,1.0209
000039.SZ,2019-09-30,281.6003,154.9744,11.7847,1.0764
000039.SZ,2019-08-31,285.0047,151.1265,11.4953,1.05
000039.SZ,2019-07-31,292.454,157.5186,11.1021,0.9912
000039.SZ,2019-06-30,305.0414,162.5201,11.4561,1.0228
000039.SZ,2019-05-31,287.9548,157.6252,11.1098,1.0603
000039.SZ,2019-04-30,325.0058,179.263,12.6382,1.2062
000039.SZ,2019-03-31,337.0929,189.1439,13.175,1.3367
000039.SZ,2019-02-28,297.7397,167.7195,11.229,1.1853
000039.SZ,2019-01-31,264.2308,141.2167,9.455,1.0287
000039.SZ,2018-12-31,247.3008,134.102,8.9797,0.977
000039.SZ,2018-11-30,267.7756,139.8057,9.3617,1.0185
000039.SZ,2018-10-31,241.9267,136.3835,9.1325,0.9936
000039.SZ,2018-09-30,275.5481,150.0723,13.1984,1.1526
000039.SZ,2018-08-31,266.5596,141.8335,12.4738,1.0893
000039.SZ,2018-07-31,292.1597,157.4238,15.1576,1.2091
000039.SZ,2018-06-30,317.1964,168.3531,16.2063,1.203
000039.SZ,2018-05-31,374.2074,202.0745,19.4519,1.444
000039.SZ,2018-04-30,367.2851,193.3121,18.6098,1.4735
000039.SZ,2018-03-31,380.9769,212.0728,19.9,1.6411
000039.SZ,2018-02-28,433.7497,236.2844,27.288,1.8172
000039.SZ,2018-01-31,495.8362,271.6116,31.3554,2.088
000039.SZ,2017-12-31,505.8172,288.9804,33.423,2.2257
000039.SZ,2017-11-30,450.4657,246.487,28.5026,1.8985
000039.SZ,2017-10-31,470.4352,243.2111,28.137,1.8741
000039.SZ,2017-09-30,444.6942,229.2865,31.5514,1.8138
000039.SZ,2017-08-31,470.1003,239.1401,32.9073,1.8918
000039.SZ,2017-07-31,484.8598,243.0563,89.7521,1.9228
000039.SZ,2017-06-30,435.8421,227.7276,84.0792,1.797
000039.SZ,2017-05-31,393.1205,201.2725,74.3771,1.7072
000039.SZ,2017-04-30,407.9393,204.0331,75.403,1.7307
000039.SZ,2017-03-31,405.6752,203.1498,88.8823,1.7611
000039.SZ,2017-02-28,419.0755,212.7395,840.125,1.8012
000039.SZ,2017-01-31,376.0065,199.5378,788.2783,1.6901
000039.SZ,2016-12-31,356.471,184.3652,728.4847,1.5619
000039.SZ,2016-11-30,371.4626,192.6881,761.3323,1.6325
000039.SZ,2016-10-31,314.2422,175.7689,694.5663,1.4893
000039.SZ,2016-09-30,312.3199,177.408,538.7983,1.5538
000039.SZ,2016-08-31,317.78,178.0391,540.7131,1.481
000039.SZ,2016-07-31,305.2165,173.4993,21.7179,1.4433
000039.SZ,2016-06-30,318.7566,178.6689,22.3647,1.4528
000039.SZ,2016-05-31,323.577,180.553,22.6012,1.5801
000039.SZ,2016-04-30,357.5836,183.9597,23.0273,1.6099
000039.SZ,2016-03-31,367.9788,193.9205,23.2046,1.6046
000039.SZ,2016-02-29,330.1803,169.0815,15.4757,1.3862
000039.SZ,2016-01-31,341.4346,166.3698,15.2311,1.5257
000027.SZ,2020-12-31,289.725,289.725,7.4601,1.0601
000027.SZ,2020-11-30,269.744,269.744,6.9456,0.987
000027.SZ,2020-10-31,257.8505,257.8505,6.6393,0.9435
000027.SZ,2020-09-30,254.9961,254.9961,7.2648,0.9721
000027.SZ,2020-08-31,272.5984,272.5984,7.7663,1.0392
000027.SZ,2020-07-31,269.744,269.744,17.4816,0.9104
000027.SZ,2020-06-30,220.7429,220.7429,14.306,0.745
000027.SZ,2020-05-31,218.047,218.047,14.1313,0.9151
000027.SZ,2020-04-30,217.6506,217.6506,14.1056,0.9134
000027.SZ,2020-03-31,213.2896,213.2896,11.8518,0.8902
000027.SZ,2020-02-29,215.2719,215.2719,11.962,0.8984
000027.SZ,2020-01-31,234.3015,234.3015,13.0194,0.9779
000027.SZ,2019-12-31,246.1949,246.1949,13.6802,1.0275
000027.SZ,2019-11-30,238.6624,238.6624,13.2617,0.9961
000027.SZ,2019-10-31,242.2304,242.2304,13.4599,1.0109
000027.SZ,2019-09-30,229.1476,229.1476,19.323,0.9757
000027.SZ,2019-08-31,233.905,233.905,19.7241,0.996
000027.SZ,2019-07-31,234.3015,234.3015,23.4796,0.8885
000027.SZ,2019-06-30,245.7985,245.7985,24.6317,0.9321
000027.SZ,2019-05-31,235.8873,235.8873,23.6385,1.0008
000027.SZ,2019-04-30,239.0588,239.0588,23.9563,1.0143
000027.SZ,2019-03-31,257.2955,257.2955,35.2132,1.0645
000027.SZ,2019-02-28,242.2304,242.2304,33.1514,1.0022
000027.SZ,2019-01-31,200.9997,200.9997,27.5086,0.8316
000027.SZ,2018-12-31,208.1358,208.1358,37.8768,0.987
000027.SZ,2018-11-30,210.1181,210.1181,38.2375,0.9964
000027.SZ,2018-10-31,206.1536,206.1536,37.5161,0.9776
000027.SZ,2018-09-30,215.2719,215.2719,24.3778,1.0262
000027.SZ,2018-08-31,206.55,206.55,23.3902,0.9847
000027.SZ,2018-07-31,202.1891,202.1891,22.7881,0.9611
000027.SZ,2018-06-30,195.8459,195.8459,28.0643,0.9429
000027.SZ,2018-05-31,228.3547,228.3547,32.7228,1.0829
000027.SZ,2018-04-30,224.3902,224.3902,32.1547,1.0641
000027.SZ,2018-03-31,231.5263,231.5263,29.6692,1.0598
000027.SZ,2018-02-28,223.9938,223.9938,28.7039,1.0253
000027.SZ,2018-01-31,240.6446,240.6446,29.6058,1.0825
000027.SZ,2017-12-31,240.2482,240.2482,29.557,1.0807
000027.SZ,2017-11-30,242.6269,242.6269,29.8497,1.0914
000027.SZ,2017-10-31,253.331,253.331,31.1666,1.1396
000027.SZ,2017-09-30,255.7097,255.7097,28.4688,1.1836
000027.SZ,2017-08-31,261.26,261.26,29.0867,1.2092
000027.SZ,2017-07-31,263.2422,263.2422,20.9719,1.247
000027.SZ,2017-06-30,266.8103,266.8103,21.2561,1.2639
000027.SZ,2017-05-31,264.0351,264.0351,21.035,1.2165
000027.SZ,2017-04-30,277.118,277.118,22.0773,1.2768
000027.SZ,2017-03-31,282.2718,282.2718,20.0555,1.3084
000027.SZ,2017-02-28,279.4967,279.4967,19.8584,1.2955
000027.SZ,2017-01-31,277.118,277.118,19.6894,1.2845
000027.SZ,2016-12-31,272.3606,272.3606,17.6905,1.2719
000027.SZ,2016-11-30,284.6505,284.6505,18.4888,1.3293
000027.SZ,2016-10-31,267.9996,267.9996,17.4072,1.2515
000027.SZ,2016-09-30,264.0351,264.0351,16.3361,1.2612
000027.SZ,2016-08-31,274.7393,274.7393,16.9984,1.3123
000027.SZ,2016-07-31,260.4671,260.4671,15.8436,1.2365
000027.SZ,2016-06-30,252.9346,252.9346,15.5141,1.2278
000027.SZ,2016-05-31,258.0884,258.0884,15.8302,1.2064
000027.SZ,2016-04-30,269.189,269.189,16.5111,1.2582
000027.SZ,2016-03-31,289.0114,289.0114,16.2251,1.33
000027.SZ,2016-02-29,255.3133,255.3133,14.3333,1.175
000027.SZ,2016-01-31,256.5026,93.0079,14.4001,1.1804
000002.SZ,2020-12-31,3217.1526,2788.9378,8.234,1.6451
000002.SZ,2020-11-30,3458.586,2982.2947,8.8078,1.7598
000002.SZ,2020-10-31,3073.123,2676.2938,7.9041,1.5792
000002.SZ,2020-09-30,3118.2293,2721.951,8.2333,1.771
000002.SZ,2020-08-31,3055.7424,2649.0937,8.013,1.7236
000002.SZ,2020-07-31,3026.3723,2607.3221,7.9952,1.5923
000002.SZ,2020-06-30,2965.6646,2539.3219,7.7867,1.5508
000002.SZ,2020-05-31,2864.1801,2496.7987,7.4477,1.5396
000002.SZ,2020-04-30,2977.4587,2603.6656,7.7664,1.6055
000002.SZ,2020-03-31,2862.6286,2491.9411,7.4578,1.5415
000002.SZ,2020-02-29,3302.801,2874.7188,8.7941,1.9993
000002.SZ,2020-01-31,3203.9064,2815.4563,8.6128,1.9581
000002.SZ,2019-12-31,3599.2328,3126.3417,9.5639,2.1743
000002.SZ,2019-11-30,3108.7915,2691.1021,8.2324,1.8716
000002.SZ,2019-10-31,2986.7074,2577.4346,7.8847,1.7925
000002.SZ,2019-09-30,2907.1342,2516.229,8.0219,1.9619
000002.SZ,2019-08-31,2895.1236,2506.5139,7.991,1.9543
000002.SZ,2019-07-31,3208.3219,2794.0829,9.5607,1.9796
000002.SZ,2019-06-30,3110.9996,2701.7888,9.2449,1.9142
000002.SZ,2019-05-31,2981.314,2593.9504,8.8759,1.8378
000002.SZ,2019-04-30,3219.1733,2805.7411,9.6006,1.9878
000002.SZ,2019-03-31,3359.4985,2984.5002,10.0413,2.1772
000002.SZ,2019-02-28,3055.786,2719.2761,9.9849,2.207
000002.SZ,2019-01-31,3053.5605,2695.9597,9.8993,2.1881
000002.SZ,2018-12-31,2622.7792,2314.1535,8.4973,1.8782
000002.SZ,2018-11-30,2787.5242,2471.5393,9.0752,2.006
000002.SZ,2018-10-31,2638.0756,2353.9857,8.6436,1.9105
000002.SZ,2018-09-30,2662.6674,2360.7863,8.9798,1.9886
000002.SZ,2018-08-31,2649.6579,2336.4984,8.8874,1.9682
000002.SZ,2018-07-31,2553.7699,2265.5777,9.1123,1.8903
000002.SZ,2018-06-30,2696.4737,2389.9318,9.6124,1.9941
000002.SZ,2018-05-31,2789.9674,2486.112,9.9993,2.0743
000002.SZ,2018-04-30,3109.0396,2759.1083,11.0973,2.3021
000002.SZ,2018-03-31,3615.4312,3234.1801,13.1005,2.7699
000002.SZ,2018-02-28,3553.5435,3176.8606,15.1347,3.1019
000002.SZ,2018-01-31,4060.3116,3649.0179,17.384,3.5629
000002.SZ,2017-12-31,3363.281,3015.6667,14.3756,2.9463
000002.SZ,2017-11-30,3352.3008,3031.2013,14.4497,2.9615
000002.SZ,2017-10-31,3126.7595,2811.7742,13.4037,2.7471
000002.SZ,2017-09-30,2839.7387,2548.6558,12.6133,2.5726
000002.SZ,2017-08-31,2519.0547,2255.4391,11.1622,2.2766
000002.SZ,2017-07-31,2533.6872,2269.0319,12.3528,2.2636
000002.SZ,2017-06-30,2680.3539,2424.3785,13.1985,2.4186
000002.SZ,2017-05-31,2307.1006,2064.1478,11.2375,2.0592
000002.SZ,2017-04-30,2126.1578,1893.2682,10.3072,1.8888
000002.SZ,2017-03-31,2246.3946,1998.1261,10.8067,2.0026
000002.SZ,2017-02-28,2223.5111,1993.2716,11.606,2.2572
000002.SZ,2017-01-31,2241.1622,2007.8352,11.6908,2.2737
000002.SZ,2016-12-31,2206.517,1995.0161,11.6173,2.2594
000002.SZ,2016-11-30,2901.4774,2619.2475,15.2523,2.9664
000002.SZ,2016-10-31,2656.1047,2419.2605,14.0877,2.7399
