code,date,ret_pct
000039.SZ,2016-01-31,-37.1429
000039.SZ,2016-02-29,1.5909
000039.SZ,2016-03-31,14.6905
000039.SZ,2016-04-30,-5.1365
000039.SZ,2016-05-31,-1.8506
000039.SZ,2016-06-30,-1.0475
000039.SZ,2016-07-31,-1.3653
000039.SZ,2016-08-31,2.6163
000039.SZ,2016-09-30,-0.3541
000039.SZ,2016-10-31,-0.924
000039.SZ,2016-11-30,9.6126
000039.SZ,2016-12-31,-4.3194
000039.SZ,2017-01-31,8.2079
000039.SZ,2017-02-28,6.574
000039.SZ,2017-03-31,-4.5077
000039.SZ,2017-04-30,0.4348
000039.SZ,2017-05-31,-1.3605
000039.SZ,2017-06-30,13.0408
000039.SZ,2017-07-31,7.0736
000039.SZ,2017-08-31,-1.6112
000039.SZ,2017-09-30,-4.1204
000039.SZ,2017-10-31,6.0055
000039.SZ,2017-11-30,1.2994
000039.SZ,2017-12-31,17.2396
000039.SZ,2018-01-31,-6.2144
000039.SZ,2018-02-28,-13.0191
000039.SZ,2018-03-31,-10.2468
000039.SZ,2018-04-30,-8.8464
000039.SZ,2018-05-31,4.5246
000039.SZ,2018-06-30,-16.6876
000039.SZ,2018-07-31,-4.3786
000039.SZ,2018-08-31,-9.9034
000039.SZ,2018-09-30,5.8088
000039.SZ,2018-10-31,-9.1216
000039.SZ,2018-11-30,2.5093
000039.SZ,2018-12-31,-4.0798
000039.SZ,2019-01-31,5.293
000039.SZ,2019-02-28,18.7612
000039.SZ,2019-03-31,12.774
000039.SZ,2019-04-30,-5.2279
000039.SZ,2019-05-31,-12.0934
000039.SZ,2019-06-30,7.5416
000039.SZ,2019-07-31,-3.0899
000039.SZ,2019-08-31,-4.058
000039.SZ,2019-09-30,2.5176
000039.SZ,2019-10-31,-4.7151
000039.SZ,2019-11-30,-0.6186
000039.SZ,2019-12-31,1.8672
000039.SZ,2020-01-31,-6.6191
000039.SZ,2020-02-29,-12.759
000039.SZ,2020-03-31,-3.625
000039.SZ,2020-04-30,-3.6316
000039.SZ,2020-05-31,-5.3836
000039.SZ,2020-06-30,4.5356
000039.SZ,2020-07-31,15.3527
000039.SZ,2020-08-31,5.036
000039.SZ,2020-09-30,2.2831
000039.SZ,2020-10-31,32.2545
000039.SZ,2020-11-30,24.3038
000039.SZ,2020-12-31,1.7651
000002.SZ,2016-01-31,0
000002.SZ,2016-02-29,0
000002.SZ,2016-03-31,0
000002.SZ,2016-04-30,0
000002.SZ,2016-05-31,0
000002.SZ,2016-06-30,0
000002.SZ,2016-07-31,-26.9034
000002.SZ,2016-08-31,45.4492
000002.SZ,2016-09-30,4.9739
000002.SZ,2016-10-31,-4.7765
000002.SZ,2016-11-30,8.2665
000002.SZ,2016-12-31,-23.8325
000002.SZ,2017-01-31,0.6326
000002.SZ,2017-02-28,-0.7253
000002.SZ,2017-03-31,0.2435
000002.SZ,2017-04-30,-5.2478
000002.SZ,2017-05-31,9.0256
000002.SZ,2017-06-30,17.4506
000002.SZ,2017-07-31,-6.4077
000002.SZ,2017-08-31,2.7828
000002.SZ,2017-09-30,13.0004
000002.SZ,2017-10-31,10.3238
000002.SZ,2017-11-30,7.8039
000002.SZ,2017-12-31,-0.5125
000002.SZ,2018-01-31,20.9272
000002.SZ,2018-02-28,-12.9393
000002.SZ,2018-03-31,1.8043
000002.SZ,2018-04-30,-14.6891
000002.SZ,2018-05-31,-9.8944
000002.SZ,2018-06-30,-3.8687
000002.SZ,2018-07-31,-5.2033
000002.SZ,2018-08-31,7.1624
000002.SZ,2018-09-30,1.0395
000002.SZ,2018-10-31,-0.2881
000002.SZ,2018-11-30,4.9938
000002.SZ,2018-12-31,-6.3679
000002.SZ,2019-01-31,16.4987
000002.SZ,2019-02-28,0.8649
000002.SZ,2019-03-31,9.7535
000002.SZ,2019-04-30,-5.9896
000002.SZ,2019-05-31,-7.5485
000002.SZ,2019-06-30,4.1573
000002.SZ,2019-07-31,3.416
000002.SZ,2019-08-31,-6.6804
000002.SZ,2019-09-30,0.3876
000002.SZ,2019-10-31,2.4324
000002.SZ,2019-11-30,4.4101
000002.SZ,2019-12-31,16.1733
000002.SZ,2020-01-31,-9.9441
000002.SZ,2020-02-29,2.1049
000002.SZ,2020-03-31,-13.3153
000002.SZ,2020-04-30,4.4834
000002.SZ,2020-05-31,-4.1045
000002.SZ,2020-06-30,1.7121
000002.SZ,2020-07-31,2.6779
000002.SZ,2020-08-31,5.3597
000002.SZ,2020-09-30,2.7503
000002.SZ,2020-10-31,-1.6774
000002.SZ,2020-11-30,11.4338
000002.SZ,2020-12-31,-6.5147
000027.SZ,2016-01-31,-34.0469
000027.SZ,2016-02-29,-0.4637
000027.SZ,2016-03-31,13.1988
000027.SZ,2016-04-30,-6.8587
000027.SZ,2016-05-31,-4.1237
000027.SZ,2016-06-30,1.0946
000027.SZ,2016-07-31,2.9781
000027.SZ,2016-08-31,5.4795
000027.SZ,2016-09-30,-3.8961
